title,description,date,tags,link,img,alt,publication,type,lead,pinned
Joe's Cabinet,A visual database of Joe Biden's cabinet,2021-01,Svelte,https://www.businessinsider.com/joe-biden-cabinet-white-house-staff-transition-president-elect-administration-2020-11,cabinet.png,A visual database of Joe Biden's cabinet picks,Business Insider,graphics,TRUE,FALSE
Q's Supporters,A visual database of QAnon supporters,2020-12,D3,https://www.businessinsider.com/qanon-searchable-database-people-2020-12,q-database.gif,A visual database of QAnon supporters,Business Insider,graphics,TRUE,FALSE
Influencer Agents,A database of influencer agents and managers,2020-11,D3,https://www.businessinsider.com/top-influencer-agents-managers-database-youtube-instagram-tiktok-2020-6,influencer-database.gif,A database of influencer agents and managers,Business Insider,graphics,TRUE,FALSE
Q Drops,"A timeline of Q's first 5,000 drops",2020-11,D3,https://www.businessinsider.com/every-qanon-message-q-drop-analyzed-2020-10,q-drops.gif,"A timeline chart of Q's first 5,000 drops.",Business Insider,graphics,TRUE,FALSE
COVID Condegram,A radial bar chart with COVID-19 data,2020-12,D3,https://observablehq.com/@sawyerclick/condegram,condegram.png,A spiral histogram showing the rise in COVID-19 cases.,Observable,graphics,TRUE,FALSE
Biotech Sell Offs,Packed bubble chart showing stock sold from biotech executives,2020-10,D3,https://www.businessinsider.com/pharma-executives-selling-company-stock-amid-covid-19-pandemic-2020-10,biotech-execs.png,A packed bubble chart showing biotech executives who have sold off steck.,Business Insider,graphics,TRUE,FALSE
Izzy's Orbit,A force-directed chart on the influence of hedge-fund behemoth Millennium,2020-10,D3,https://www.businessinsider.com/millennium-israel-izzy-englander-network-family-tree-alumni-hedge-fund-2020-10,izzys-orbit.png,A force-directed chart on the influence of Millennium,Business Insider,graphics,FALSE,FALSE
The GOP & QAnon,Visualizing QAnon-related tweets from GOP and conservative personalities,2020-10,D3,https://www.businessinsider.com/how-qanon-infiltrated-the-gop-2020-10,gop_love-qanon.png,A bubble timeline chart showing tweets sized by the number of retweets around the time of Trump's impeachment.,Business Insider,graphics,TRUE,FALSE
Joppa,A special on how Dallas has neglected a freedman's town,2020-09,Development,https://www.dallasnews.com/joppa,reckoning_with_joppa.png,Screengrab of the Reckoning With Joppa home page.,The Dallas Morning News,graphics,TRUE,FALSE
Police Complaints,How Indianapolis Police Department's few bad apples spoil the bunch,2020-09,D3,https://observablehq.com/@sawyerclick/impds-complaints-allegations-and-demographics,nyu_impd.png,A Sankey diagram of IMPD officer races and the racial breakdown of the complaints against them.,NYU Criminal Justice Lab,graphics,TRUE,FALSE
Internet Usage,Scrollytelling radial-chart clocks on how internet usage patterns have been disrupted,2020-08,D3,https://www.wsj.com/articles/coronavirus-lockdown-tested-internets-backbone-11597503600,wsj-clocks.gif,Internet usage skyrocketed during the pandemic.,The Wall Street Journal,graphics,TRUE,FALSE
Home Economics,A small-multiple cartogram that showcases Home Depot's boom in foot traffic,2020-08,D3,https://www.wsj.com/articles/home-depot-covid-coronavirus-home-improvement-lockdowns-stimulus-check-remodel-11597426959,wsj_homedepot.png,Home Depot had a boom in foot traffic as stay-at-home orders went into effect.,The Wall Street Journal,graphics,TRUE,FALSE
Quake Swarm,How A.I. uncovered secrets about a flurry of earthquakes in California,2020-06,"QGIS,D3",https://www.wsj.com/articles/artificial-intelligence-helps-to-decode-mysterious-earthquake-swarms-11592998200,quakeswarm-map.png,Map of earthquakes in southern California.,The Wall Street Journal,graphics,TRUE,FALSE
Warming Up,Projected CO2 emissions and how the coronavirus could change things,2020-07,"D3,Illustrator",https://www.wsj.com/articles/covid-19s-environmental-benefits-evaporate-as-world-reopens-11594290145,emissions.png,Projected CO2 emissions.,The Wall Street Journal,graphics,TRUE,FALSE
Small Slice,How the world is funding sustainable enterprises amid the pandemic,2020-07,Illustrator,https://www.wsj.com/articles/governments-eye-a-green-economic-recovery-some-industries-arent-convinced-11594113028,green-businesses.png,How the world's top 50 economies are funding green enterprises,The Wall Street Journal,graphics,TRUE,FALSE
Protest Data,Simplifying how political groups serve protestors ads based on geofencing,2020-06,ai2html,https://www.wsj.com/articles/how-political-groups-are-harvesting-data-from-protesters-11592156142?mod=mhp,protestdata.png,Flow chart of how political groups serve protestors ads based on geoencing.,The Wall Street Journal,graphics,TRUE,FALSE
Superyachts,Mapping how superyachts fled back to the U.S. after ports closed,2020-05,D3,https://www.nbcnews.com/news/us-news/yachting-crowd-was-gearing-booming-2020-sailing-season-then-coronavirus-n1202231,superyachts-animated-map.gif,Animated map of boats moving from the Caribbean to mainland USA.,NBC News,graphics,TRUE,FALSE
Contour Density Maps,A walkthrough on how to create a contour density map,2020-05,D3,https://observablehq.com/@sawyerclick/contour-density-map-walkthrough,contour-map.png,A walkthrough on how to create a contour density map,Observable,graphics,TRUE,FALSE
COVID's Spread,Visualizing the spread of confirmed cases and deaths using a choropleth,2020-03,D3,https://observablehq.com/@sawyerclick/coronavirus-cases-per-county,coronavirus-animated-map.gif,Gif of a map of the us cases,Observable,graphics,TRUE,FALSE
Zero Waste,Data on why NYC's dreams to cut its waste to nil by 2030 won't come true,2020-03,D3,https://nyc-recycling.netlify.com,nyc-recycling.gif,Gif of a map of new york,Columbia University,graphics,TRUE,FALSE
Domestic Surveillance,The spread of law partnerships between law enforcement agency and Amazon Ring,2020-02,Leaflet,https://www.nbcnews.com/news/all/cute-videos-little-evidence-police-say-amazon-ring-isn-t-n1136026,ring-neighbors.gif,Gif of police departmnets partnering with Ring surveillance,NBC News,graphics,TRUE,FALSE
Coronavirus Tracker,Auto-updating histogram tracking new coronavirus cases in the U.S. per day,2020-03,D3,https://www.nbcnews.com/health/health-news/coronavirus-numbers-new-cases-2020-n1157271,coro-per-day.png,bar chart of new coronavirus cases in the U.S. per day,NBC News,graphics,TRUE,FALSE
Is Punk Dead?,How Spotify's punk playlists forget the genre's forefathers,2019-11,D3,https://sawyerclick.github.io/punk/,punk-header.gif,Gif of my punk project,Columbia University,graphics,TRUE,FALSE
Quarantine Streaming,Visualizing the coronavirus bump for streaming services,2020-03,D3,https://www.nbcnews.com/tech/internet/coronavirus-pandemic-drove-life-online-it-may-never-return-n1169956,corona-streaming.png,small multiple of coronavirus bump for streaming services,NBC News,graphics,TRUE,FALSE
Tax Loophole,The projected revenue loss from a century-old tax loophole,2020-03,D3,https://observablehq.com/@sawyerclick/stepped-up-loophole-predictions,stepped-up-loophole.png,The projected revenue loss from a century-old tax loophole,Observable,graphics,TRUE,FALSE
2020's Dem. candidates,Following some 2020 Dem. candidates around the country via their Facebook events,2019-07,Mapbox,https://sawyerclick.github.io/2020-dems/,2020-dems.gif,Screengrab of the Mapbox portion of the page,Columbia University,graphics,TRUE,FALSE
Immigration Court,Immigration court hearings by the medium through which they are presided over,2020-02,D3,https://observablehq.com/@sawyerclick/hearing-types-in-immigration-courts-for-fy2020s-1st-quarte,immigration-court-hearings.gif,Gif of my immigration court hearings,Observable,graphics,TRUE,FALSE
State of the Union,How long President Trump spent on topics during 2020's State of the Union address,2020-02,D3,https://www.nbcnews.com/politics/donald-trump/state-union-visualized-graphics-donald-trump-2020-n1130451,sotu-2020.png,Circle force plot of topics trump spoke on,NBC News,graphics,TRUE,FALSE
Debate Live Blog,Live blogging interesting attack stats from the ninth Dem. debate,2020-02,live blog,https://www.nbcnews.com/politics/2020-election/live-blog/south-carolina-democratic-debate-live-updates-candidates-face-charleston-n1141666/ncrd1143231#liveBlogHeader,images/bernie-battered.png,chart showing how much bernie was attacked during the ninth dem debate,NBC News,words,TRUE,FALSE
Fare Court,A day spent with those trapped at fare evasion court in Brooklyn,2019-08,Investigation,https://medium.com/transit-new-york/an-afternoon-at-the-fare-beaters-court-720ee694e757,https://miro.medium.com/max/4398/1*w-WS6VsYFkx4XyeVXnRCYg.jpeg,Alfonso Washington at fare evasion court,Transit,words,TRUE,FALSE
Rogue Trains,Covering the rogue F train's controversial schedule,2019-07,Investigation,https://medium.com/transit-new-york/mta-makes-rogue-f-express-official-871c948952f8,https://miro.medium.com/max/2560/1*6XNq2ygwa4uEcLkWRRCZ2Q.jpeg,"An F train pulls into Smith-9th Street station, which will be skipped during the train’s express route",Transit,words,TRUE,FALSE
TPUSA Allegations,An investigation I led uncovering TXST student government's ties to Turning Point USA. The president later resigned because of the story,2018-08,Investigation,https://universitystar.com/25470/news/allegations-against-president-boreing-reveal-student-government-trend-of-tpusa-affiliation/,words/tpusa-allegations/tpusa-allegations.jpg,Sen. Eli Miller alleging Pres. Brooklyn Boreing's connections.,University Star,words,TRUE,FALSE
campus hate,An investigation I led uncovering the white supremacist group haunting Texas State University,2019-10,d3,https://universitystar.com/24796/news/former-student-found-with-ties-to-white-supremacy-flyers-on-campus/,words/white-supremacy-on-campus/campusFlyers.gif,Twitter screenshot of a former TXST student posting white supremacist flyers on campus,University Star,words,TRUE,FALSE
Apartment Fire,Covering the deadly Iconic Village fire in San Marcos. Ranked 17th nationally for a breaking news Hearst Award,2018-07,Breaking News,https://universitystar.com/25269/news/fire-at-iconic-village-apartments/,words/san-marcos-fire/fire.jpg,San Marcos' Iconic Village apartments burning in July 2018.,University Star,words,TRUE,FALSE
Service Fees,Detailing the ballooning student service fee revenue at Texas State and it's refusal to fund student services,2018-10,Financial,https://universitystar.com/26231/news/student-service-fee-balloons-to-all-time-high/,words/student-service-fee/jck.jpg,The J.C. Kellam Administration Building at Texas State University,University Star,words,TRUE,FALSE
Save the Church,Profiling San Marcos' fight to get funding for a historic black church facing destruction and gentrification,2018-10,Community,https://universitystar.com/26501/news/community-rallies-to-save-historic-old-first-baptist-church/,words/church/church.jpg,"The Old First Baptist Church in San Marcos, Texas",University Star,words,TRUE,FALSE
Road to Recovery,A freelance feature piece covering a college student's road to recovery after a deadly apartment fire,2018-08,Feature,https://www.inforney.com/education/north-forney-alum-starts-over-after-deadly-san-marcos-fire/article_361315a0-9e7d-11e8-8a72-4fd307f74c0c.html,words/branson-fairbrother/branson_fairbrother.jpg,Branson Fairbrother in his new home.,In Forney,words,TRUE,FALSE
